USGS Parameter Code,Number of Sensors Reporting,Short Name,Long Name,Units,USGS Group Name
00065,9655,"Height, gage","Gage height, feet",ft,Physical
00060,7899,"Stream flow, mean. daily","Discharge, cubic feet per second",ft3/s,Physical
00045,2609,Precipitation,"Precipitation, total, inches",in,Physical
00010,1878,"Temperature, water","Temperature, water, degrees Celsius",deg C,Physical
72019,1302,Depth to water level below land surface,"Depth to water level, feet below land surface",ft,Physical
00095,1007,Specific conductance,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",uS/cm @25C,Physical
00300,564,Oxygen,"Dissolved oxygen, water, unfiltered, milligrams per liter",mg/l,"Inorganics, Major, Non-metals"
00400,456,pH,"pH, water, unfiltered, field, standard units",std units,Physical
63680,435,Turbidity,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)",FNU,Physical
00055,399,Stream velocity,"Stream velocity, feet per second",ft/sec,Physical
72020,325,,"Elevation above NGVD 1929, feet",ft,Physical
00062,303,,"Elevation of reservoir water surface above datum, feet",ft,Physical
63160,257,,"Stream water level elevation above NAVD 1988, in feet",ft,Physical
00020,216,"Temperature, air","Temperature, air, degrees Celsius",deg C,Physical
81027,176,"Temperature, soil","Temperature, soil, degrees Celsius",deg C,Physical
00036,161,Wind direction,"Wind direction, degrees clockwise from true north",Deg,Physical
70969,152,,"DCP battery voltage, volts",volts,Information
00021,151,"Temperature, air","Temperature, air, degrees Fahrenheit",deg F,Physical
00035,150,,"Wind speed, miles per hour",mph,Physical
00480,142,Salinity,"Salinity, water, unfiltered, parts per thousand",ppth,Physical
00054,120,Reservoir storage,"Reservoir storage, acre feet",ac-ft,Information
62614,113,,"Lake or reservoir water surface elevation above NGVD 1929, feet",ft,Physical
00052,98,Relative humidity,"Relative humidity, percent",%,Physical
00301,84,Oxygen,"Dissolved oxygen, water, unfiltered, percent of saturation",% saturatn,"Inorganics, Major, Non-metals"
45592,80,,"Gate opening, height, feet",ft,Information
00011,78,"Temperature, water","Temperature, water, degrees Fahrenheit",deg F,Physical
99133,74,Inorganic nitrogen (nitrate and nitrite),"Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen",mg/l as N,Nutrient
62611,62,,"Groundwater level above NAVD 1988, feet",ft,Physical
00025,57,Barometric pressure,"Barometric pressure, millimeters of mercury",mm/Hg,Physical
72137,52,,"Discharge, tidally filtered, cubic feet per second",ft3/s,Physical
62846,47,,"Soil temperature, degrees Fahrenheit",deg F,Physical
74207,47,Moisture content,"Moisture content, soil, volumetric, percent of total volume",%,Physical
72147,41,,"Depth of sensor below water surface, feet",ft,Information
62619,30,,"Estuary or ocean water surface elevation above NGVD 1929, feet",ft,Physical
45585,29,,"Gate opening, width, feet",ft,Information
63158,29,,"Stream water level elevation above NGVD 1929, in feet",ft,Physical
00063,28,,"Number of sampling points, count",count,Information
32295,25,Colored dissolved organic matter (CDOM),"Colored dissolved organic matter (CDOM), water, in situ, single band excitation, fluorescence emission, parts per billion quinine sulfate equivalents (ppb QSE)",ppb QSE,"Organics, other"
99409,25,Sediment,"Suspended sediment concentration, water, unfiltered, estimated by regression equation, milligrams per liter",mg/l,Sediment
99234,24,,"Count of samples collected by autosampler, number",nu,Information
80154,21,Suspended sediment concentration (SSC),"Suspended sediment concentration, milligrams per liter",mg/l,Sediment
72192,19,Precipitation,"Precipitation, cumulative, inches",in,Physical
75969,19,Barometric pressure,"Barometric pressure, not corrected to sea level, millibars",mbar,Physical
90860,19,Salinity,"Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius",PSS,Physical
62361,18,Chlorophyll,"Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter",ug/l,Biological
72181,18,,"Moisture content, soil, volumetric, fraction of total volume",number,Physical
00003,16,,"Sampling depth, feet",ft,Information
00047,16,Partial pressure of dissolved gases,"Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury",mm/Hg,Physical
62625,16,,"Wind speed, meters per second",m/sec,Physical
80155,16,Suspended sediment discharge,"Suspended sediment discharge, tons per day",tons/day,Sediment
62615,14,,"Lake or reservoir water surface elevation above NAVD 1988, feet",ft,Physical
62608,13,,"Total solar radiation (direct + diffuse radiation on a horizontal surface), watts per square meter",W/m2,Physical
99137,13,Nitrate,"Nitrate, water, in situ, milligrams per liter as nitrogen",mg/l as N,Nutrient
62602,12,Barometric pressure,"Barometric pressure, corrected to sea level, inches of mercury",in/Hg,Physical
62609,12,,"Net solar radiation, watts per square meter",W/m2,Physical
00048,11,Partial pressure of dissolved gases,"Total partial pressure of dissolved gases, water, unfiltered, percent of saturation",%,Physical
00058,11,,"Flow rate of well, gallons per minute",gal/min,Physical
72159,11,,"Evapotranspiration, millimeters per day",mm/d,Physical
99772,11,Precipitation,"Precipitation, millimeters",mm,Physical
99986,10,"Solar irradiation, local","Solar radiation (average flux density on a horizontal surface during measurement interval), watts per square meter",W/m2,Physical
72114,9,,"Estimate of DCP transmitted power, decibels",dB,Information
99988,9,"Light, photosynthetic active radiation (PAR)","Photosynthetically active radiation (average flux density on a horizontal surface during measurement interval), micromoles of photons per square meter per second",umol/m2/s,Physical
00098,8,,"Sampling depth, meters",m,Information
61728,8,,"Wind gust speed, air, miles per hour",mph,Physical
63675,8,Turbidity,"Turbidity, water, unfiltered, broad band light source (400-680 nm), detection angle 90 +-30 degrees to incident light, nephelometric turbidity units (NTU)",NTU,Physical
91049,8,Inorganic nitrogen (nitrate and nitrite),"Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day",lb/d as N,Nutrient
99237,8,,Acoustic Doppler Velocity Meter signal to noise ratio,number,Information
00008,7,,Sample accounting number,nu,Information
72036,7,Reservoir storage,"Reservoir storage, thousand acre feet",Kac-ft,Information
72213,7,,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detector angles at 90 +-2.5 degrees and 0-45 degrees, ratiometric, FBRU",FBRU,Physical
99401,7,Total dissolved solids,"Dissolved solids, water, filtered, estimated by regression equation, milligrams per liter",mg/l,Physical
00090,6,Oxidation reduction potential (ORP),"Oxidation reduction potential, reference electrode not specified, millivolts",mV,Physical
62620,6,,"Estuary or ocean water surface elevation above NAVD 1988, feet",ft,Physical
72022,6,Reservoir storage,"Reservoir storage, million gallons",Mgal,Physical
72252,6,,"Solar radiation (average flux density on a horizontal surface during measurement interval), kilowatts per square meter",kW/m2,Physical
62603,5,Barometric pressure,"Barometric pressure, uncorrected, inches of mercury",in/Hg,Physical
95202,5,,"Cyanobacteria (blue-green algae), YSI in vivo fluorescence of phycocyanin, excitation at 595, emission at 650 nm, cells per milliliter",,Biological
99065,5,Gage height,"Gage height, above datum, meters",m,Physical
99111,5,,"Type of quality assurance data associated with sample, code",code,Information
99404,5,Chloride,"Chloride, water, filtered, estimated by regression equation, milligrams per liter",mg/l,"Inorganics, Major, Non-metals"
00009,4,,"Location in cross section, distance from left bank looking downstream, feet",ft,Information
00053,4,,"Surface area, acres",ac,Physical
32283,4,Chlorophyll,"Chlorophyll, total, water, in situ, fluorometric, 650-700 nm, relative fluorescence units (RFU)",RFU,Biological
32315,4,Chlorophyll a,"Chlorophyll a, estimated, water, in-situ, in-vivo fluorescence (IVF), relative fluorescence units (RFU)",RFU,Biological
32318,4,,"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",ug/l,Biological
72150,4,,"Groundwater level relative to Mean Sea Level (MSL), feet",ft,Physical
90856,4,Sodium adsorption ratio,"Sodium adsorption ratio, water, estimated by regression equation, number",nu,"Inorganics, Major, Metals"
99235,4,,"Status of equipment alarm, codes specified in data descriptor",code,Information
00631,3,Inorganic nitrogen (nitrate and nitrite),"Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen",mg/l as N,Nutrient
31720,3,Hypophthalmichthys nobilis,"Bighead carp (Hypophthalmichthys nobilis), count of tagged fish per hour (count may include repeats of same fish)",count/hr,Biological
31721,3,Hypophthalmichthys molitrix,"Silver carp (Hypophthalmichthys molitrix), count of tagged fish per hour (count may include repeats of same fish)",count/hr,Biological
31722,3,,"Hybrid asian carp (Hypophthalmichthys nobliis and Hypophthalmichthys molitrix hybrids), count of tagged fish per hour (count may include repeats of same fish)",count/hr,Biological
31723,3,,"Sum of bighead, silver and hybrid carp, count of tagged fish per hour (count may include repeats of same fish)",count/hr,Biological
31724,3,Scaphirhynchus platorynchus,"Shovelnose sturgeon (Scaphirhynchus platorynchus), count of tagged fish per hour (count may include repeats of same fish)",count/hr,Biological
31725,3,Hypophthalmichthys nobilis,"Bighead carp (Hypophthalmichthys nobilis), count of unique tagged fish per hour (same fish are not counted more than once per hour)",count/hr,Biological
31726,3,Hypophthalmichthys molitrix,"Silver carp (Hypophthalmichthys molitrix), count of unique tagged fish per hour (same fish are not counted more than once per hour)",count/hr,Biological
31727,3,,"Hybrid asian carp (Hypophthalmichthys nobliis and Hypophthalmichthys molitrix hybrids), count of unique tagged fish per hour (same fish are not counted more than once per",count/hr,Biological
31728,3,,"Sum of bighead, silver and hybrid carp, count of unique tagged fish per hour (same fish are not counted more than once per hour)",count/hr,Biological
31729,3,Scaphirhynchus platorynchus,"Shovelnose sturgeon (Scaphirhynchus platorynchus), count of unique tagged fish per hour (same fish are not counted more than once per hour)",count/hr,Biological
32285,3,,"Chlorophyll a, green algae, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",ug/l,Biological
32316,3,Chlorophyll a,"Chlorophyll a, estimated, water, in-situ, in-vivo fluorescence (IVF), concentration estimated from reference material, micrograms per liter",ug/l,Biological
50012,3,,"Compaction, aquifer system, feet",ft,Physical
61035,3,,"Voltage, volts",volts,Information
63682,3,,"Turbidity, water, unfiltered, monochrome near infra-red LED light source, 780-900 nm, detection angle 0-45 degrees to incident light (backscatter), FBU",FBU,Physical
65231,3,Chlorophyll a,"Chlorophyll a, water, in situ, in vivo fluorescence, micrograms per liter",ug/l,Biological
72198,3,,"Snow depth, feet",ft,Physical
99067,3,,"Difference between observed and predicted water surface elevation, feet",ft,Physical
99238,3,,"Location of Acoustic Doppler Velocity Meter cell end, feet",ft,Information
00030,2,"Solar irradiation, local","Incident solar radiation intensity, calories per square centimeter per day",cal/cm2/d,Physical
00061,2,"Stream flow, instantaneous","Discharge, instantaneous, cubic feet per second",ft3/s,Physical
00650,2,Phosphate-phosphorus,"Phosphate, water, unfiltered, milligrams per liter",mg/l,Nutrient
32284,2,,"Chlorophyll a, total, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",ug/l,Biological
32314,2,Colored dissolved organic matter (CDOM),"Colored dissolved organic matter (CDOM), water, filtered, field, single band excitation, fluorescence emission, parts per billion quinine sulfate equivalents (ppb QSE)",ppb QSE,"Organics, other"
32319,2,,"Phycocyanins (cyanobacteria), water, in situ, fluorometric method, excitation at 590 +-15 nm, emission at 685 +-20 nm, micrograms per liter",ug/l,Biological
45700,2,,"Gate openings, reservoir, all gates, feet",ft,Information
61729,2,,"Wind gust direction, air, degrees clockwise from true north",Deg,Physical
72124,2,,"Net radiation (net solar + net long wave radiation), watts per square meter",W/m2,Physical
72125,2,,"Atmospheric water vapor pressure, calculated, kilopascals",kPa,Physical
72152,2,,"Collector wet exposure (time within recording interval that collector is open when it should be open), seconds",seconds,Information
72153,2,,"Collector dry exposure (time within recording interval that collector is open but should be closed), seconds",seconds,Information
72158,2,,"Collector lid cycles in recording interval, number",number,Information
72199,2,Depth of water column,"Water depth, water surface to bottom, feet",ft,Physical
95204,2,,"Phycocyanins (cyanobacteria), water, in situ, in vivo fluorescence, in vivo fluorescence units",IVFU,Biological
99220,2,Chloride,"Chloride, water, unfiltered, milligrams per liter",mg/l,"Inorganics, Major, Non-metals"
99968,2,,"Acoustic signal strength, units specified in data descriptor",units inDD,Information
00064,1,Depth,"Mean depth of stream, feet",ft,Physical
00067,1,Tide stage,"Tide stage, code",code,Physical
00096,1,Salinity,"Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius",mg/mL @25C,Physical
00193,1,Precipitation,"Precipitation total for defined period, inches",in,Physical
00200,1,,"Incident light intensity, 400-700 nanometers, microeinsteins per square meter per second",uE/m2/sec,Physical
00201,1,,"Incident light, daily total, 400-700 nanometers, microeinsteins per square meter",uEinst/m2,Physical
00630,1,Inorganic nitrogen (nitrate and nitrite),"Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen",mg/l as N,Nutrient
00940,1,Chloride,"Chloride, water, filtered, milligrams per liter",mg/l,"Inorganics, Major, Non-metals"
30215,1,,"Signal, sediment, Markland meter, count",count,Information
32325,1,,"Dark measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts",count,Information
32326,1,,"Light measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts",count,Information
45586,1,,"Lockage, count of lock openings, units",units,Information
45587,1,,"Temperature, internal, within data collection platform, degrees Celsius",deg C,Information
50050,1,"Flow, in conduit or treatment plant","Flow, in conduit or through a treatment plant, million gallons per day",mgd,Physical
61055,1,"Water level in well, depth from a reference point","Water level, depth below measuring point, feet",ft,Physical
61727,1,,"Wind gust speed, air, knots",knots,Physical
62623,1,Tide stage,"Tide stage, above datum, feet",ft,Physical
72106,1,,"Elevation of sample, feet",ft,Physical
72113,1,,"DCP signal modulation index, decibels",dB,Information
72126,1,,"Standard deviation of wind direction, degrees",Deg,Information
72130,1,,"Potential evapotranspiration (PET), calculated by Penman method, millimeters per hour",mm/hr,Physical
72151,1,,"Water column pressure, pounds per square inch",psi,Physical
72156,1,,"Datalogger scan time per recording interval, seconds",seconds,Information
72174,1,,"Longwave radiation, upward intensity, watts per square meter",W/m2,Physical
72175,1,,"Longwave radiation, downward intensity, watts per square meter",W/m2,Physical
72176,1,,"Temperature of sensor, degrees Celsius",deg C,Information
72180,1,,"Evapotranspiration, inches",inches,Physical
72185,1,,"Shortwave radiation, upward intensity, watts per square meter",W/m2,Physical
72186,1,,"Shortwave radiation, downward intensity, watts per square meter",W/m2,Physical
72202,1,,"Net emitted longwave radiation, watts per square meter",W/m2,Physical
81904,1,Velocity - stream,"Velocity at point in stream, feet per second",ft/sec,Physical
82127,1,,"Wind speed, knots",knots,Physical
85583,1,"Temperature, water","Temperature, intragravel water, degrees Celsius",deg C,Physical
99136,1,Nitrate,"Nitrate, water, in situ, micromoles per liter",umol/L,Nutrient
