familyid,site_no,dd_nu,station_nm,site_tp_cd,dec_lat_va,dec_long_va,dec_coord_datum_cd,alt_va,alt_datum_cd,huc_cd,tz_cd,agency_cd,district_cd,county_cd,country_cd
AZ011:340553110562745:00011:00001,340553110562745,1,"PLEASANT VALLEY RANGER STATION PRECIP NR YOUNG, AZ",AT,34.09809884,-110.9415129,NAD83,5184,NGVD29,,MST,AZ011,4,7,US
AZ011:340553110562745:00011:00002,340553110562745,2,"PLEASANT VALLEY RANGER STATION PRECIP NR YOUNG, AZ",AT,34.09809884,-110.9415129,NAD83,5184,NGVD29,,MST,AZ011,4,7,US
AZ011:340639111162945:00011:00001,340639111162945,1,"GIESELA PRECIP GAGE NEAR PAYSON, AZ",AT,34.1108718,-111.2754109,NAD83,2920,NGVD29,,MST,AZ011,4,7,US
AZ011:340639111162945:00011:00002,340639111162945,2,"GIESELA PRECIP GAGE NEAR PAYSON, AZ",AT,34.1108718,-111.2754109,NAD83,2920,NGVD29,,MST,AZ011,4,7,US
AZ011:342946111342645:00011:00001,342946111342645,1,"CROOK TRAIL PRECIP NEAR PINE, AZ",AT,34.49613707,-111.5745886,NAD83,6300,NGVD29,,MST,AZ011,4,25,US
AZ011:342946111342645:00011:00002,342946111342645,2,"CROOK TRAIL PRECIP NEAR PINE, AZ",AT,34.49613707,-111.5745886,NAD83,6300,NGVD29,,MST,AZ011,4,25,US
AZ011:344433111242845:00011:00001,344433111242845,1,"HAPPY JACK RANGER STATION PRECIP NEAR PINE, AZ",AT,34.7425213,-111.4084796,NAD83,7796,NGVD29,,MST,AZ011,4,5,US
AZ011:344433111242845:00011:00002,344433111242845,2,"HAPPY JACK RANGER STATION PRECIP NEAR PINE, AZ",AT,34.7425213,-111.4084796,NAD83,7796,NGVD29,,MST,AZ011,4,5,US
AZ011:344433111242845:00011:00011,344433111242845,11,"HAPPY JACK RANGER STATION PRECIP NEAR PINE, AZ",AT,34.7425213,-111.4084796,NAD83,7796,NGVD29,,MST,AZ011,4,5,US
AZ011:344433111242845:00011:00012,344433111242845,12,"HAPPY JACK RANGER STATION PRECIP NEAR PINE, AZ",AT,34.7425213,-111.4084796,NAD83,7796,NGVD29,,MST,AZ011,4,5,US